Store,Dept,Date,Weekly_Pred,Wk
1.0,1.0,2012-07-06,17096.334114551544,27
1.0,1.0,2012-07-13,17142.04123687744,28
1.0,1.0,2012-07-20,16130.969055175781,29
1.0,1.0,2012-07-27,16585.6172375679,30
1.0,1.0,2012-08-03,17093.293291568756,31
1.0,1.0,2012-08-10,16434.441102027893,32
1.0,1.0,2012-08-17,16325.166727542877,33
1.0,1.0,2012-08-24,15852.200019836426,34
1.0,1.0,2012-08-31,18164.677185058594,35
1.0,2.0,2012-07-06,46360.822378873825,27
1.0,2.0,2012-07-13,47928.079900979996,28
1.0,2.0,2012-07-20,47533.7044403553,29
1.0,2.0,2012-07-27,46895.53230071068,30
1.0,2.0,2012-08-03,51000.75314259529,31
1.0,2.0,2012-08-10,48849.79267191887,32
1.0,2.0,2012-08-17,49841.15564250946,33
1.0,2.0,2012-08-24,49225.41415095329,34
1.0,2.0,2012-08-31,50785.933535814285,35
1.0,3.0,2012-07-06,9784.096903443336,27
1.0,3.0,2012-07-13,14835.190454483032,28
1.0,3.0,2012-07-20,17826.536701321602,29
1.0,3.0,2012-07-27,20389.29261469841,30
1.0,3.0,2012-08-03,26291.581352353096,31
1.0,3.0,2012-08-10,31180.711255073547,32
1.0,3.0,2012-08-17,44080.01365637779,33
1.0,3.0,2012-08-24,49118.943684220314,34
1.0,3.0,2012-08-31,21375.431918501854,35
1.0,4.0,2012-07-06,40662.47095537186,27
1.0,4.0,2012-07-13,37614.54667663574,28
1.0,4.0,2012-07-20,37438.30878305435,29
1.0,4.0,2012-07-27,37640.043691158295,30
1.0,4.0,2012-08-03,42061.63824415207,31
1.0,4.0,2012-08-10,39641.360780239105,32
1.0,4.0,2012-08-17,41689.30113887787,33
1.0,4.0,2012-08-24,38334.43010568619,34
1.0,4.0,2012-08-31,40474.199135780334,35
1.0,5.0,2012-07-06,19104.78399080038,27
1.0,5.0,2012-07-13,18330.162364006042,28
1.0,5.0,2012-07-20,18575.104493558407,29
1.0,5.0,2012-07-27,18044.96628177166,30
1.0,5.0,2012-08-03,19800.47824692726,31
1.0,5.0,2012-08-10,18793.24692618847,32
1.0,5.0,2012-08-17,17964.23514330387,33
1.0,5.0,2012-08-24,16403.962672948837,34
1.0,5.0,2012-08-31,17474.78025507927,35
1.0,6.0,2012-07-06,4101.839792966843,27
1.0,6.0,2012-07-13,2990.1797711849213,28
1.0,6.0,2012-07-20,3314.776161670685,29
1.0,6.0,2012-07-27,3136.763388156891,30
1.0,6.0,2012-08-03,3327.4120621681213,31
1.0,6.0,2012-08-10,3141.7457976341248,32
1.0,6.0,2012-08-17,2248.394550561905,33
1.0,6.0,2012-08-24,2646.843170642853,34
1.0,6.0,2012-08-31,3160.458455324173,35
1.0,7.0,2012-07-06,22397.634050369263,27
1.0,7.0,2012-07-13,19009.10608768463,28
1.0,7.0,2012-07-20,17715.878949165344,29
1.0,7.0,2012-07-27,16608.373834609985,30
1.0,7.0,2012-08-03,17323.207823753357,31
1.0,7.0,2012-08-10,15885.965012550354,32
1.0,7.0,2012-08-17,15429.845536231995,33
1.0,7.0,2012-08-24,14278.947506904602,34
1.0,7.0,2012-08-31,16024.955384254456,35
1.0,8.0,2012-07-06,37625.248957157135,27
1.0,8.0,2012-07-13,35844.1321721077,28
1.0,8.0,2012-07-20,36321.53244924545,29
1.0,8.0,2012-07-27,35761.22071170807,30
1.0,8.0,2012-08-03,37857.17206144333,31
1.0,8.0,2012-08-10,34457.45013856888,32
1.0,8.0,2012-08-17,34203.22944736481,33
1.0,8.0,2012-08-24,33583.33968067169,34
1.0,8.0,2012-08-31,38364.86992073059,35
1.0,9.0,2012-07-06,29567.58780479431,27
1.0,9.0,2012-07-13,22239.02753162384,28
1.0,9.0,2012-07-20,21580.96570301056,29
1.0,9.0,2012-07-27,20919.141912460327,30
1.0,9.0,2012-08-03,20708.012705802917,31
1.0,9.0,2012-08-10,19164.163067817688,32
1.0,9.0,2012-08-17,26335.797739982605,33
1.0,9.0,2012-08-24,25360.19009590149,34
1.0,9.0,2012-08-31,48376.81539058685,35
1.0,10.0,2012-07-06,33624.11463034153,27
1.0,10.0,2012-07-13,32118.451068401337,28
1.0,10.0,2012-07-20,32203.963497161865,29
1.0,10.0,2012-07-27,32075.155910491943,30
1.0,10.0,2012-08-03,34639.86639338732,31
1.0,10.0,2012-08-10,33509.39191377163,32
1.0,10.0,2012-08-17,33538.07392907143,33
1.0,10.0,2012-08-24,34055.70970207453,34
1.0,10.0,2012-08-31,33650.784323096275,35
1.0,11.0,2012-07-06,28909.532932281494,27
1.0,11.0,2012-07-13,30243.509400844574,28
1.0,11.0,2012-07-20,31013.948185920715,29
1.0,11.0,2012-07-27,27930.336351633072,30
1.0,11.0,2012-08-03,33491.92846274376,31
1.0,11.0,2012-08-10,26949.757583141327,32
1.0,11.0,2012-08-17,25335.334506750107,33
1.0,11.0,2012-08-24,22526.94904255867,34
1.0,11.0,2012-08-31,21450.491764307022,35
1.0,12.0,2012-07-06,11602.911131501198,27
1.0,12.0,2012-07-13,10419.184404373169,28
1.0,12.0,2012-07-20,11657.461148619652,29
1.0,12.0,2012-07-27,11632.064908981323,30
1.0,12.0,2012-08-03,11505.625968694687,31
1.0,12.0,2012-08-10,12473.875620245934,32
1.0,12.0,2012-08-17,10108.540304899216,33
1.0,12.0,2012-08-24,9308.018653273582,34
1.0,12.0,2012-08-31,10744.977089166641,35
1.0,13.0,2012-07-06,41267.63805389404,27
1.0,13.0,2012-07-13,40888.81647109985,28
1.0,13.0,2012-07-20,40658.19635677338,29
1.0,13.0,2012-07-27,39528.3493976593,30
1.0,13.0,2012-08-03,43725.29629230499,31
1.0,13.0,2012-08-10,40156.97807407379,32
1.0,13.0,2012-08-17,42261.404465675354,33
1.0,13.0,2012-08-24,40686.99394798279,34
1.0,13.0,2012-08-31,44996.049823760986,35
1.0,14.0,2012-07-06,14830.476397275925,27
1.0,14.0,2012-07-13,13963.553265333176,28
1.0,14.0,2012-07-20,13883.930269241333,29
1.0,14.0,2012-07-27,13366.451308727264,30
1.0,14.0,2012-08-03,15188.506760597229,31
1.0,14.0,2012-08-10,14120.617606163025,32
1.0,14.0,2012-08-17,14561.452761173248,33
1.0,14.0,2012-08-24,12953.351824998856,34
1.0,14.0,2012-08-31,13920.066436767578,35
1.0,16.0,2012-07-06,34011.625019073486,27
1.0,16.0,2012-07-13,29108.877234458923,28
1.0,16.0,2012-07-20,27008.4550409317,29
1.0,16.0,2012-07-27,23475.121403694153,30
1.0,16.0,2012-08-03,24915.708830833435,31
1.0,16.0,2012-08-10,22307.911544799805,32
1.0,16.0,2012-08-17,20512.453857421875,33
1.0,16.0,2012-08-24,18525.618103027344,34
1.0,16.0,2012-08-31,19919.941904067993,35
1.0,17.0,2012-07-06,7531.960341215134,27
1.0,17.0,2012-07-13,7506.431665420532,28
1.0,17.0,2012-07-20,7862.762165307999,29
1.0,17.0,2012-07-27,7627.350460290909,30
1.0,17.0,2012-08-03,8190.811210870743,31
1.0,17.0,2012-08-10,7632.4192452430725,32
1.0,17.0,2012-08-17,8494.277561664581,33
1.0,17.0,2012-08-24,8790.2365629673,34
1.0,17.0,2012-08-31,7622.384139537811,35
1.0,18.0,2012-07-20,-35.54039287567139,29
1.0,18.0,2012-08-17,-23.41689395904541,33
1.0,18.0,2012-08-24,-7.499290943145752,34
1.0,18.0,2012-08-31,55.37713575363159,35
1.0,19.0,2012-07-06,756.1460955142975,27
1.0,19.0,2012-07-13,923.6979866623878,28
1.0,19.0,2012-07-20,735.6268054246902,29
1.0,19.0,2012-07-27,742.6317938566208,30
1.0,19.0,2012-08-03,854.9391505122185,31
1.0,19.0,2012-08-10,935.6559543013573,32
1.0,19.0,2012-08-17,910.9465919137001,33
1.0,19.0,2012-08-24,871.7758384346962,34
1.0,19.0,2012-08-31,757.185520708561,35
1.0,20.0,2012-07-06,5655.527010679245,27
1.0,20.0,2012-07-13,5015.813853263855,28
1.0,20.0,2012-07-20,5020.481448888779,29
1.0,20.0,2012-07-27,4700.544891834259,30
1.0,20.0,2012-08-03,5195.754216909409,31
1.0,20.0,2012-08-10,4709.61886548996,32
1.0,20.0,2012-08-17,4881.043681144714,33
1.0,20.0,2012-08-24,4194.226008892059,34
1.0,20.0,2012-08-31,4860.646445512772,35
1.0,21.0,2012-07-06,7720.416508674622,27
1.0,21.0,2012-07-13,7896.819529056549,28
1.0,21.0,2012-07-20,7412.891426444054,29
1.0,21.0,2012-07-27,7485.627359688282,30
1.0,21.0,2012-08-03,7801.343988656998,31
1.0,21.0,2012-08-10,7678.906432330608,32
1.0,21.0,2012-08-17,7544.978970646858,33
1.0,21.0,2012-08-24,7541.528637588024,34
