PID,Sale_Price
534152120,163202.85701109492
907202220,128144.74451116766
534430090,128350.31064453004
535126100,126462.00152665736
528445070,239114.8495842841
908103350,134904.1257017218
533127080,317664.487111614
531385060,192781.16637075265
533213030,251530.90458029535
528118010,327912.17402563797
534276180,124682.90239512998
904351200,114660.23415474464
527182190,229801.5321264579
902301130,115738.33900835026
902456015,61071.069002648714
907130060,175134.8740027769
534201250,167537.3719274848
535327230,114336.61524080257
534400290,175450.05503889063
905100020,130648.13994657616
907254050,202906.80134328132
907202160,150464.89365696933
911103060,102222.79383182297
909101190,137929.52128176266
905377050,91986.45970011041
905103180,133519.19558714385
533215020,285487.6572370605
923202137,111307.24207215705
916176125,262511.4611310103
528480020,221228.82254677362
907227090,124281.01295893997
528482030,254534.15479633198
527451400,89265.87334651969
905103060,169513.23138282748
527405130,110327.18097324303
906203120,279451.5087089759
528321010,331291.753425285
908152280,157657.54533918377
528344020,316670.3286712184
531450030,190678.22776645122
906378170,228173.54561566716
527402090,128226.97624053813
923275010,158566.84039545414
535451250,146850.11522330318
907202050,154715.46360967014
902326060,148789.62177654915
528228455,171965.4055697187
903204030,124163.36056501993
902207140,107093.17449588966
907253130,363492.02572255884
923225440,88246.5045815614
528431080,208176.29174915154
528480130,210652.09320987304
903234220,135110.85723311355
527107030,177016.25954484535
902108060,107269.94761098803
907200130,122409.82426449425
534427140,153052.89478399768
528441090,432460.27251883846
528290030,162644.69309655068
535180100,140657.60962824555
534402140,153926.02670130198
902207110,75335.49394316235
526355170,277700.271143046
908276140,106468.90391197086
906380200,189781.56594136817
906380220,218805.14427336256
527302175,180598.27403795053
907262020,190501.35557009059
902405120,113540.20716855947
535126180,184568.79947717316
528346050,308952.6982669842
923426010,130199.99714413976
528180120,337221.9183368234
535150240,109001.26334340716
535152130,127779.84144059943
535457020,160313.61502902245
528275070,238999.23321135738
907420110,168086.96777704248
907202140,139719.20560899194
909275250,143058.67439308116
903427120,140453.17662932182
535350030,148117.85066980327
907201160,149601.18457319902
909276160,271658.9913308353
533221110,173574.26016924417
528120010,298287.72001136193
909455040,174587.94435973244
528106060,309783.04950021586
923202005,185216.21588850248
534252240,164309.9974168793
534276190,107005.10033345887
526302110,114387.4021506097
535376100,102898.36832630125
905477050,133172.90321575818
528181060,223885.38933256327
533253030,199416.09566779487
914476050,136261.8375850491
535105100,179507.08413302063
528186120,314207.6056734566
923276250,46511.13441271591
911104060,67637.76790564762
533254100,182815.6296858569
535403030,127675.93614492394
527405180,121427.27718996922
905427140,190580.01345629912
904100030,125050.0577496298
532353130,130369.0318582496
528118030,403489.0096526012
533213010,231979.50568811977
916475100,311934.14139796875
534401190,143209.37406834817
924151040,288259.66557805915
535154080,153745.69121776958
527107040,171353.12813396056
528235090,212844.65292114648
902136110,98112.07067675027
527354100,203089.76521001066
528429130,279633.3677051323
527364030,234953.1927943531
907253110,231992.64441661988
528174020,197968.0329442217
531363020,138505.79609929852
907200290,152379.76181343113
907414030,190404.8658605794
905300010,135278.52737265616
535455080,114943.34925911827
533251130,205868.400505584
909250220,141490.3293149128
528228430,194941.27338001385
528490070,205370.20648777898
532351150,123664.60856541366
527301280,149719.2992703964
907203090,117349.08137034258
535457010,139327.40444024338
528166150,329942.4582875351
905226050,152834.1912283478
534175140,146397.5453989187
528221100,175768.95976639338
909176140,150410.55936488774
527164120,200560.10538530062
531375110,163443.99917554267
