Store,Dept,Date,Weekly_Pred,Wk
1.0,1.0,2011-03-04,18593.768876869723,9
1.0,1.0,2011-03-11,17926.130620044216,10
1.0,1.0,2011-03-18,18535.51627263662,11
1.0,1.0,2011-03-25,21008.38851028171,12
1.0,1.0,2011-04-01,54652.2395472457,13
1.0,1.0,2011-04-08,42694.35299131696,14
1.0,1.0,2011-04-15,14026.00826486063,15
1.0,1.0,2011-04-22,13151.109697706557,16
1.0,1.0,2011-04-29,13883.593642751246,17
1.0,2.0,2011-03-04,49081.71645305294,9
1.0,2.0,2011-03-11,45661.241437923745,10
1.0,2.0,2011-03-18,44842.514488146524,11
1.0,2.0,2011-03-25,43418.23995932832,12
1.0,2.0,2011-04-01,47252.32278411125,13
1.0,2.0,2011-04-08,45534.914251058945,14
1.0,2.0,2011-04-15,47449.48435721581,15
1.0,2.0,2011-04-22,45915.72850275913,16
1.0,2.0,2011-04-29,45978.0073313982,17
1.0,3.0,2011-03-04,10363.293776429604,9
1.0,3.0,2011-03-11,9777.048872812298,10
1.0,3.0,2011-03-18,8821.933977472476,11
1.0,3.0,2011-03-25,9146.173408121449,12
1.0,3.0,2011-04-01,9311.611959557627,13
1.0,3.0,2011-04-08,9224.295811351501,14
1.0,3.0,2011-04-15,9432.745560207051,15
1.0,3.0,2011-04-22,9870.681377597499,16
1.0,3.0,2011-04-29,8771.561514543482,17
1.0,4.0,2011-03-04,38216.809008269505,9
1.0,4.0,2011-03-11,32714.40483982738,10
1.0,4.0,2011-03-18,33609.60946518875,11
1.0,4.0,2011-03-25,31899.953953171083,12
1.0,4.0,2011-04-01,37152.040926379086,13
1.0,4.0,2011-04-08,35298.40276094333,14
1.0,4.0,2011-04-15,34147.9714626143,15
1.0,4.0,2011-04-22,33815.553412006404,16
1.0,4.0,2011-04-29,33727.43522320472,17
1.0,5.0,2011-03-04,28029.85974792895,9
1.0,5.0,2011-03-11,28129.69565693793,10
1.0,5.0,2011-03-18,28673.960453557233,11
1.0,5.0,2011-03-25,41414.16345252693,12
1.0,5.0,2011-04-01,33234.637287481135,13
1.0,5.0,2011-04-08,25284.836398843127,14
1.0,5.0,2011-04-15,18907.46875130144,15
1.0,5.0,2011-04-22,27782.198743717196,16
1.0,5.0,2011-04-29,24703.979161284315,17
1.0,6.0,2011-03-04,3159.663720910839,9
1.0,6.0,2011-03-11,3138.901206540811,10
1.0,6.0,2011-03-18,2596.3490777359634,11
1.0,6.0,2011-03-25,3541.6025032633274,12
1.0,6.0,2011-04-01,2685.4564128722354,13
1.0,6.0,2011-04-08,2779.475648648507,14
1.0,6.0,2011-04-15,2987.5899354111693,15
1.0,6.0,2011-04-22,2610.4546894523605,16
1.0,6.0,2011-04-29,2415.9360827504947,17
1.0,7.0,2011-03-04,19538.206058332722,9
1.0,7.0,2011-03-11,20821.83062150156,10
1.0,7.0,2011-03-18,24639.22093480991,11
1.0,7.0,2011-03-25,16328.666629397016,12
1.0,7.0,2011-04-01,22244.962888526406,13
1.0,7.0,2011-04-08,20872.300493954124,14
1.0,7.0,2011-04-15,19680.66269248651,15
1.0,7.0,2011-04-22,18288.934713351144,16
1.0,7.0,2011-04-29,20343.909449755618,17
1.0,8.0,2011-03-04,37642.51902711549,9
1.0,8.0,2011-03-11,33575.44257097942,10
1.0,8.0,2011-03-18,33146.62666819915,11
1.0,8.0,2011-03-25,31906.281913384977,12
1.0,8.0,2011-04-01,35597.00322268456,13
1.0,8.0,2011-04-08,32014.31407767366,14
1.0,8.0,2011-04-15,32276.80475359568,15
1.0,8.0,2011-04-22,32810.1803956015,16
1.0,8.0,2011-04-29,33690.44576303027,17
1.0,9.0,2011-03-04,25185.42720187106,9
1.0,9.0,2011-03-11,26979.28083695122,10
1.0,9.0,2011-03-18,37649.3909953984,11
1.0,9.0,2011-03-25,26752.583976516267,12
1.0,9.0,2011-04-01,30901.912744425936,13
1.0,9.0,2011-04-08,29157.99605663796,14
1.0,9.0,2011-04-15,27500.89808621793,15
1.0,9.0,2011-04-22,27218.84290912631,16
1.0,9.0,2011-04-29,30204.020659783157,17
1.0,10.0,2011-03-04,32736.326344090525,9
1.0,10.0,2011-03-11,31782.510242712695,10
1.0,10.0,2011-03-18,33283.36822835951,11
1.0,10.0,2011-03-25,28966.65811309755,12
1.0,10.0,2011-04-01,32366.12492837688,13
1.0,10.0,2011-04-08,31253.59329662671,14
1.0,10.0,2011-04-15,31076.726863403,15
1.0,10.0,2011-04-22,28662.243465680873,16
1.0,10.0,2011-04-29,29660.316937451495,17
1.0,11.0,2011-03-04,20398.732425397302,9
1.0,11.0,2011-03-11,20045.808404571417,10
1.0,11.0,2011-03-18,20255.95371840223,11
1.0,11.0,2011-03-25,18394.832417159614,12
1.0,11.0,2011-04-01,22146.038467881543,13
1.0,11.0,2011-04-08,23753.254369353217,14
1.0,11.0,2011-04-15,21058.168839168542,15
1.0,11.0,2011-04-22,18433.027897500473,16
1.0,11.0,2011-04-29,21444.729811981826,17
1.0,12.0,2011-03-04,11069.802241184025,9
1.0,12.0,2011-03-11,12513.86269324736,10
1.0,12.0,2011-03-18,14097.01689035699,11
1.0,12.0,2011-03-25,11866.161879644005,12
1.0,12.0,2011-04-01,12995.121821181823,13
