Store,Dept,Date,Weekly_Pred,Wk
1.0,1.0,2011-11-04,31995.483864045014,44
1.0,1.0,2011-11-11,17179.260917766263,45
1.0,1.0,2011-11-18,17796.52872873448,46
1.0,1.0,2011-11-25,16702.995751348102,47
1.0,1.0,2011-12-02,22000.852058741973,48
1.0,1.0,2011-12-09,30790.358695100305,49
1.0,1.0,2011-12-16,37982.20778089956,50
1.0,1.0,2011-12-23,50973.74789972453,51
1.0,1.0,2011-12-30,22971.93082686859,52
1.0,2.0,2011-11-04,45696.28345324099,44
1.0,2.0,2011-11-11,42953.468621669046,45
1.0,2.0,2011-11-18,42841.24293254264,46
1.0,2.0,2011-11-25,42547.15956446819,47
1.0,2.0,2011-12-02,43236.09440532906,48
1.0,2.0,2011-12-09,46675.40723331955,49
1.0,2.0,2011-12-16,42280.126351274426,50
1.0,2.0,2011-12-23,58022.40744323468,51
1.0,2.0,2011-12-30,39514.56899331041,52
1.0,3.0,2011-11-04,9224.515696195991,44
1.0,3.0,2011-11-11,9587.200844599622,45
1.0,3.0,2011-11-18,9547.223611952842,46
1.0,3.0,2011-11-25,10525.650813950913,47
1.0,3.0,2011-12-02,11211.840013644764,48
1.0,3.0,2011-12-09,12745.872748665035,49
1.0,3.0,2011-12-16,12153.835796498486,50
1.0,3.0,2011-12-23,14776.21152816516,51
1.0,3.0,2011-12-30,9072.95943719236,52
1.0,4.0,2011-11-04,37888.585790854624,44
1.0,4.0,2011-11-11,35615.634946567334,45
1.0,4.0,2011-11-18,37849.13203447857,46
1.0,4.0,2011-11-25,44603.99174932214,47
1.0,4.0,2011-12-02,36240.837490024256,48
1.0,4.0,2011-12-09,37181.15751881616,49
1.0,4.0,2011-12-16,38623.94873488972,50
1.0,4.0,2011-12-23,47231.0830002222,51
1.0,4.0,2011-12-30,35734.563856852335,52
1.0,5.0,2011-11-04,25560.260251654516,44
1.0,5.0,2011-11-11,25605.768107853102,45
1.0,5.0,2011-11-18,27137.567459434475,46
1.0,5.0,2011-11-25,71353.98779001713,47
1.0,5.0,2011-12-02,37542.2308850472,48
1.0,5.0,2011-12-09,51531.14110686138,49
1.0,5.0,2011-12-16,59819.67603053499,50
1.0,5.0,2011-12-23,88245.11736232389,51
