PID,Sale_Price
908276150,83772.59
903451090,138175.11
527110080,182198.7
535457010,138836.08
903484020,134763.34
905479110,118688.37
527452310,129711.69
528228445,183374.64
923225370,103435.086
528344040,313104.16
532377050,134799.33
535176050,140109.92
906340100,345195.53
533212050,153504.1
909428180,201175.14
535379110,143313.7
534250400,173312.7
527450520,102265.04
527452150,135441.83
903225040,117606.14
911370410,282306.56
905226080,149744.11
914467050,213323.47
908152260,144821.31
534451170,86264.0
923228310,81280.8
910201180,159756.98
534476100,136179.05
923225080,128737.48
906223210,232270.64
905480150,74615.055
903452090,120931.9
527208010,343573.4
906426090,164121.9
903231090,125434.16
535152280,136593.58
528458180,217559.33
532354060,122124.95
909279040,118680.1
527353060,257877.34
916176030,156462.31
533110130,249291.03
911370450,259240.2
528118110,289537.84
528228270,187431.66
905480240,91295.25
914460020,201437.19
534428060,129872.09
534252240,164751.05
908102050,118836.164
914475030,181329.36
533221040,170343.02
535451170,89406.49
905451340,105414.22
528118040,420971.0
903200080,189631.1
527162110,184210.72
535381040,159516.89
528174020,193750.56
534400290,161245.86
903206070,136134.25
533252130,199211.73
906382030,235511.16
535327200,129528.35
535455080,108928.59
527354160,178294.89
902207120,100333.65
909282060,190426.47
902109140,123961.34
902206270,132731.75
533250050,232035.52
909452050,221341.42
527212060,352963.28
906394060,193241.23
534401120,151773.45
528435010,216277.58
528315080,269776.25
909275030,148589.7
528102010,358068.94
907200290,148023.55
902300260,127747.46
528150110,375604.6
535450100,133113.05
907285010,222422.95
533253210,191507.92
527301280,152775.19
905478140,134877.64
902204080,92255.82
907201280,135809.03
905476170,91287.15
923228210,83755.42
534226120,126016.04
527301170,215282.61
535453040,131736.75
535150300,262062.0
528363020,296115.53
907265100,208351.66
910200060,141005.73
532376160,128629.73
908204180,74102.56
909282130,147161.0
528326110,305917.03
534176230,161025.33
527302210,216547.53
526355170,256405.27
535305180,136940.25
905452150,128031.625
902201090,134805.77
527452190,142958.92
908275280,135926.55
527402210,135610.5
921126010,298526.25
905109130,263632.47
535425070,181456.17
905200290,177594.02
533253060,147866.64
535179050,138410.52
903476100,80924.31
533135020,224408.69
527403120,109908.945
528429080,245684.44
528354100,261715.11
902427150,111618.16
527226040,150960.75
924100060,178669.7
531452180,211184.9
907252050,220019.36
903236200,119221.55
910201130,112510.42
